filter, sd, nu, time, undect, dect(m), dect(u), sse_dect, dect_R
BENIGN,918,0.3,0.7472813129425049,82538,193,1180,13920,0.15531039564443172
BENIGN,918,0.5,0.8088769912719727,82544,193,1174,13920,0.15524899195611683
BENIGN,918,0.7,0.854013204574585,82549,193,1169,13920,0.15519782221585443
BENIGN,918,0.9,0.8445641994476318,82549,193,1167,13920,0.15519782221585443
BENIGN,1344,0.1,0.715601921081543,72735,181,1122,23815,0.2556337884028901
BENIGN,1344,0.3,0.8187720775604248,72763,181,1094,23815,0.25534723785742064
BENIGN,1344,0.5,0.8327469825744629,72782,181,1075,23815,0.25515279284442355
BENIGN,1344,0.7,0.8472144603729248,72782,181,1075,23815,0.25515279284442355
BENIGN,1344,0.9,0.8504469394683838,72781,181,1076,23815,0.255163026792476
BENIGN,65536,0.1,0.7202699184417725,84580,162,5883,7209,0.1344126737212682
BENIGN,65536,0.3,0.7310607433319092,83583,162,6880,7209,0.14461591992959044
BENIGN,65536,0.5,0.801478385925293,83467,162,6996,7209,0.1458030579036781
BENIGN,65536,0.7,0.8525185585021973,83405,162,7058,7209,0.14643756268293182
BENIGN,65536,0.9,0.830744743347168,83374,162,7089,7209,0.1467548150725587
BENIGN,815149,0.1,0.7697484493255615,77266,167,988,19419,0.20926376977710462
BENIGN,815149,0.3,0.8122625350952148,77265,167,989,19419,0.2092740037251571
BENIGN,815149,0.5,0.8541097640991211,77265,167,989,19419,0.2092740037251571
BENIGN,815149,0.7,0.838038444519043,77265,167,989,19419,0.2092740037251571
BENIGN,815149,0.9,0.8267104625701904,77265,167,989,19419,0.2092740037251571
DDoS,0,0.1,0.7575137615203857,71081,27,741,56187,0.44479680067485766
DDoS,0,0.3,0.730072021484375,71110,27,712,56187,0.4445702859553063
DDoS,0,0.5,0.7201066017150879,71114,27,708,56187,0.444539042545713
DDoS,0,0.7,0.8139152526855469,71115,27,707,56187,0.4445312316933147
DDoS,0,0.9,0.8545722961425781,71115,27,707,56187,0.4445312316933147
DDoS,42,0.1,0.7181048393249512,54691,12370,24431,36962,0.572816671483359
DDoS,42,0.3,0.7120373249053955,54715,12370,24692,36962,0.5726292110257992
DDoS,42,0.5,0.8678689002990723,54723,12370,24810,36962,0.5725667242066127
DDoS,42,0.7,0.8353300094604492,54725,12370,24935,36962,0.5725511025018161
DDoS,42,0.9,0.8382339477539062,54731,12370,25008,36962,0.5725042373874261
DDoS,123,0.1,0.7332589626312256,101029,2289,9937,16968,0.21087739304990355
DDoS,123,0.3,0.8272967338562012,100852,2289,9963,16968,0.21225991392440657
DDoS,123,0.5,0.8893775939941406,100814,2289,9785,16968,0.21255672631554282
DDoS,123,0.7,0.8186948299407959,100794,2289,9660,16968,0.21271294336350927
DDoS,123,0.9,0.7122724056243896,100780,2289,9571,16968,0.21282229529708577
DDoS,222,0.1,0.833261251449585,87187,13023,28601,175,0.3189952119474798
DDoS,222,0.3,0.8111348152160645,87740,13023,28044,175,0.31467581057120764
DDoS,222,0.5,0.8160455226898193,87844,13023,27939,175,0.31386348192178215
DDoS,222,0.7,0.7864382266998291,87879,13023,27903,175,0.3135901020878408
DDoS,222,0.9,0.7625992298126221,87904,13023,27878,175,0.31339483077788277
DDoS,419,0.1,0.6655118465423584,46610,57,10854,70513,0.6359361697142009
DDoS,419,0.3,0.6898343563079834,46610,57,10854,70513,0.6359361697142009
DDoS,419,0.5,0.7125339508056641,46610,57,10853,70513,0.6359361697142009
DDoS,419,0.7,0.7311971187591553,46610,57,10853,70513,0.6359361697142009
DDoS,419,0.9,0.7419660091400146,46610,57,10853,70513,0.6359361697142009
DDoS,844,0.1,0.666562557220459,47908,25,28,80086,0.6257976833011787
DDoS,844,0.3,0.6870410442352295,47908,25,28,80086,0.6257976833011787
DDoS,844,0.5,0.7149901390075684,47908,25,28,80086,0.6257976833011787
